L   1	[{"item":2,"quantity":15}]
L4523	[{"item": 19, "quantity": 10}, {"item": 20, "quantity": 25}, {"item": 26, "quantity": 54}]
L4526	[{"item": 26, "quantity": 12}, {"item": 25, "quantity": 24}]
L4528	[{"item": 19, "quantity": 25}]
L4530	[{"item": 25, "quantity": 20}, {"item": 17, "quantity": 44}]
L4532	[{"item": 26, "quantity": 45}]
L4535	[{"item": 19, "quantity": 14}, {"item": 25, "quantity": 48}]
L4538	[{"item": 24, "quantity": 2}, {"item": 25, "quantity": 32}, {"item": 21, "quantity": 10}]
L4540	[{"item": 18, "quantity": 2}, {"item": 19, "quantity": 20}, {"item": 25, "quantity": 20}]
L4542	[{"item": 3, "quantity": 17}]
L4546	[{"item": 16, "quantity": 20}, {"item": 20, "quantity": 1}]
L4548	[{"item": 19, "quantity": 15}, {"item": 25, "quantity": 30}]
L4552	[{"item": 9, "quantity": 25}]
L4559	[{"item": 24, "quantity": 2}, {"item": 21, "quantity": 8}]
L4561	[{"item": 3, "quantity": 15}, {"item": 26, "quantity": 30}]
L4567	[{"item": 25, "quantity": 24}]
L4568	[{"item": 16, "quantity": 13}]
L4570	[{"item": 25, "quantity": 24}, {"item": 17, "quantity": 41}]
L4576	[{"item": 3, "quantity": 20}]
L4579	[{"item": 24, "quantity": 3}, {"item": 8, "quantity": 15}, {"item": 7, "quantity": 26}]
L4581	[{"item": 25, "quantity": 18}]
L4583	[{"item": 3, "quantity": 25}, {"item": 19, "quantity": 20}]
L4586	[{"item": 27, "quantity": 90}, {"item": 25, "quantity": 60}, {"item": 19, "quantity": 30}]
L4591	[{"item": 22, "quantity": 2}, {"item": 18, "quantity": 4}]
L4594	[{"item": 24, "quantity": 1}, {"item": 9, "quantity": 10}, {"item": 3, "quantity": 125}]
L4596	[{"item": 28, "quantity": 47}]
L4599	[{"item": 3, "quantity": 17}, {"item": 25, "quantity": 50}]
L4604	[{"item": 19, "quantity": 15}]
L4608	[{"item": 3, "quantity": 14}, {"item": 1, "quantity": 11}]
L4610	[{"item": 20, "quantity": 12}]
L4613	[{"item": 19, "quantity": 45}, {"item": 25, "quantity": 75}]
L4616	[{"item": 19, "quantity": 25}]
L4618	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 42}]
L4620	[{"item": 19, "quantity": 10}, {"item": 25, "quantity": 10}]
L4622	[{"item": 18, "quantity": 1}, {"item": 17, "quantity": 23}]
L4625	[{"item": 3, "quantity": 25}]
L4628	[{"item": 25, "quantity": 14}, {"item": 17, "quantity": 34}]
L4630	[{"item": 21, "quantity": 10}, {"item": 20, "quantity": 25}]
L4632	[{"item": 20, "quantity": 30}, {"item": 19, "quantity": 30}]
L4636	[{"item": 28, "quantity": 33}, {"item": 20, "quantity": 33}]
L4638	[{"item": 19, "quantity": 40}]
L4642	[{"item": 19, "quantity": 12}, {"item": 24, "quantity": 1}, {"item": 25, "quantity": 23}]
L4645	[{"item": 26, "quantity": 33}, {"item": 17, "quantity": 33}, {"item": 28, "quantity": 100}]
L4648	[{"item": 20, "quantity": 60}]
L4649	[{"item": 19, "quantity": 15}, {"item": 25, "quantity": 72}]
L4650	[{"item": 25, "quantity": 22}]
L4651	[{"item": 25, "quantity": 54}, {"item": 19, "quantity": 20}]
L4655	[{"item": 2, "quantity": 130}, {"item": 6, "quantity": 130}, {"item": 4, "quantity": 130}]
L4658	[{"item": 27, "quantity": 48}, {"item": 20, "quantity": 28}, {"item": 19, "quantity": 18}]
L4660	[{"item": 18, "quantity": 6}]
L4661	[{"item": 19, "quantity": 18}, {"item": 7, "quantity": 10}, {"item": 25, "quantity": 54}]
L4663	[{"item": 18, "quantity": 2}, {"item": 25, "quantity": 26}]
L4666	[{"item": 22, "quantity": 2}, {"item": 26, "quantity": 30}, {"item": 25, "quantity": 30}]
L4670	[{"item": 19, "quantity": 20}, {"item": 26, "quantity": 40}]
L4672	[{"item": 22, "quantity": 2}, {"item": 19, "quantity": 22}, {"item": 25, "quantity": 22}]
L4674	[{"item": 16, "quantity": 12}]
L4678	[{"item": 20, "quantity": 54}]
L4682	[{"item": 3, "quantity": 36}]
L4684	[{"item": 3, "quantity": 8}, {"item": 26, "quantity": 50}, {"item": 25, "quantity": 40}]
L4687	[{"item": 25, "quantity": 36}, {"item": 19, "quantity": 20}]
L4688	[{"item": 19, "quantity": 40}, {"item": 20, "quantity": 40}]
L4690	[{"item": 3, "quantity": 50}]
L4693	[{"item": 19, "quantity": 32}]
L4695	[{"item": 3, "quantity": 10}, {"item": 25, "quantity": 60}]
L4698	[{"item": 19, "quantity": 10}, {"item": 18, "quantity": 1}, {"item": 17, "quantity": 48}]
L4702	[{"item": 20, "quantity": 40}]
L4703	[{"item": 26, "quantity": 24}, {"item": 3, "quantity": 1}]
L4704	[{"item": 19, "quantity": 15}]
L4708	[{"item": 32, "quantity": 105}]
L4709	[{"item": 25, "quantity": 66}]
L4711	[{"item": 17, "quantity": 50}]
L4715	[{"item": 25, "quantity": 20}, {"item": 17, "quantity": 25}]
L4716	[{"item": 21, "quantity": 10}]
L4721	[{"item": 19, "quantity": 35}]
L4724	[{"item": 28, "quantity": 84}]
L4726	[{"item": 19, "quantity": 24}]
L4732	[{"item": 18, "quantity": 5}, {"item": 19, "quantity": 13}]
L4735	[{"item": 25, "quantity": 120}]
L4736	[{"item": 26, "quantity": 60}, {"item": 18, "quantity": 2}]
L4738	[{"item": 22, "quantity": 2}]
L4741	[{"item": 19, "quantity": 30}, {"item": 8, "quantity": 45}, {"item": 25, "quantity": 60}]
L4744	[{"item": 16, "quantity": 13}]
L4746	[{"item": 18, "quantity": 5}, {"item": 17, "quantity": 67}]
L4751	[{"item": 19, "quantity": 60}, {"item": 25, "quantity": 35}]
L4754	[{"item": 24, "quantity": 4}]
L4756	[{"item": 18, "quantity": 6}, {"item": 17, "quantity": 8}]
L4758	[{"item": 20, "quantity": 15}]
L4762	[{"item": 18, "quantity": 5}, {"item": 19, "quantity": 60}]
L4764	[{"item": 25, "quantity": 100}]
L4766	[{"item": 17, "quantity": 20}, {"item": 25, "quantity": 58}, {"item": 24, "quantity": 6}]
L4768	[{"item": 3, "quantity": 35}]
L4770	[{"item": 17, "quantity": 148}]
L4775	[{"item": 16, "quantity": 12}, {"item": 26, "quantity": 38}, {"item": 21, "quantity": 18}]
L4778	[{"item": 26, "quantity": 93}, {"item": 17, "quantity": 24}]
L4779	[{"item": 20, "quantity": 170}, {"item": 19, "quantity": 17}]
L4780	[{"item": 26, "quantity": 25}, {"item": 28, "quantity": 25}]
L4783	[{"item": 22, "quantity": 2}, {"item": 21, "quantity": 30}]
L4784	[{"item": 27, "quantity": 44}, {"item": 16, "quantity": 15}]
L4787	[{"item": 3, "quantity": 25}, {"item": 19, "quantity": 25}]
L4792	[{"item": 17, "quantity": 58}, {"item": 22, "quantity": 1}, {"item": 18, "quantity": 3}]
L4795	[{"item": 18, "quantity": 4}]
L4797	[{"item": 19, "quantity": 20}, {"item": 26, "quantity": 33}, {"item": 25, "quantity": 22}]
L4798	[{"item": 20, "quantity": 96}]
L4800	[{"item": 17, "quantity": 20}, {"item": 3, "quantity": 35}]
L4802	[{"item": 28, "quantity": 30}, {"item": 20, "quantity": 20}]
L4805	[{"item": 20, "quantity": 40}]
L4807	[{"item": 27, "quantity": 90}, {"item": 17, "quantity": 32}]
L4810	[{"item": 26, "quantity": 15}]
L4812	[{"item": 25, "quantity": 40}, {"item": 7, "quantity": 30}]
L4813	[{"item": 25, "quantity": 20}, {"item": 19, "quantity": 40}]
L4815	[{"item": 25, "quantity": 35}]
L4817	[{"item": 18, "quantity": 4}, {"item": 25, "quantity": 94}, {"item": 27, "quantity": 30}]
L4820	[{"item": 17, "quantity": 45}]
L4822	[{"item": 19, "quantity": 24}, {"item": 18, "quantity": 1}]
L4825	[{"item": 25, "quantity": 30}, {"item": 27, "quantity": 30}]
L4827	[{"item": 9, "quantity": 2}, {"item": 20, "quantity": 40}]
L4830	[{"item": 3, "quantity": 30}]
L4832	[{"item": 19, "quantity": 22}, {"item": 18, "quantity": 3}]
L4835	[{"item": 25, "quantity": 27}]
L4837	[{"item": 3, "quantity": 34}, {"item": 26, "quantity": 14}, {"item": 19, "quantity": 24}]
L4840	[{"item": 22, "quantity": 2}, {"item": 3, "quantity": 25}]
L4842	[{"item": 28, "quantity": 19}, {"item": 20, "quantity": 35}]
L4843	[{"item": 20, "quantity": 90}, {"item": 26, "quantity": 40}]
L4845	[{"item": 20, "quantity": 9}]
L4847	[{"item": 7, "quantity": 50}]
L4850	[{"item": 25, "quantity": 10}]
L4852	[{"item": 25, "quantity": 50}]
L4855	[{"item": 20, "quantity": 25}, {"item": 26, "quantity": 5}, {"item": 16, "quantity": 5}]
L4858	[{"item": 17, "quantity": 20}]
L4861	[{"item": 18, "quantity": 2}, {"item": 28, "quantity": 78}]
L4863	[{"item": 3, "quantity": 25}]
L4867	[{"item": 25, "quantity": 74}]
L4869	[{"item": 22, "quantity": 1}]
L4873	[{"item": 19, "quantity": 10}, {"item": 25, "quantity": 32}]
L4876	[{"item": 9, "quantity": 17}]
L4878	[{"item": 19, "quantity": 20}, {"item": 27, "quantity": 46}, {"item": 24, "quantity": 2}]
L4881	[{"item": 18, "quantity": 6}]
L4883	[{"item": 18, "quantity": 5}, {"item": 19, "quantity": 100}]
L4885	[{"item": 21, "quantity": 15}]
L4890	[{"item": 3, "quantity": 35}, {"item": 7, "quantity": 20}]
L4893	[{"item": 19, "quantity": 50}, {"item": 17, "quantity": 20}]
L4899	[{"item": 16, "quantity": 50}, {"item": 24, "quantity": 2}]
L4903	[{"item": 17, "quantity": 46}]
L4904	[{"item": 19, "quantity": 10}]
L4906	[{"item": 32, "quantity": 80}, {"item": 5, "quantity": 150}, {"item": 17, "quantity": 60}]
L4909	[{"item": 3, "quantity": 18}, {"item": 25, "quantity": 56}, {"item": 5, "quantity": 40}]
L4911	[{"item": 17, "quantity": 35}]
L4915	[{"item": 6, "quantity": 150}]
L4917	[{"item": 25, "quantity": 50}]
L4919	[{"item": 18, "quantity": 8}]
L4921	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 64}]
L4924	[{"item": 19, "quantity": 17}, {"item": 18, "quantity": 8}]
L4927	[{"item": 25, "quantity": 35}, {"item": 17, "quantity": 62}]
L4929	[{"item": 26, "quantity": 8}, {"item": 16, "quantity": 8}, {"item": 19, "quantity": 50}]
L4933	[{"item": 3, "quantity": 25}]
L4935	[{"item": 19, "quantity": 8}]
L4938	[{"item": 19, "quantity": 15}, {"item": 18, "quantity": 10}]
L4941	[{"item": 22, "quantity": 3}, {"item": 25, "quantity": 30}]
L4944	[{"item": 28, "quantity": 99}]
L4948	[{"item": 3, "quantity": 30}]
L4950	[{"item": 28, "quantity": 36}]
L4952	[{"item": 22, "quantity": 2}, {"item": 19, "quantity": 50}]
L4955	[{"item": 17, "quantity": 52}, {"item": 27, "quantity": 40}]
L4959	[{"item": 26, "quantity": 34}, {"item": 20, "quantity": 44}]
L4961	[{"item": 17, "quantity": 95}]
L4964	[{"item": 18, "quantity": 6}, {"item": 25, "quantity": 15}]
L4966	[{"item": 32, "quantity": 80}]
L4967	[{"item": 21, "quantity": 10}]
L4969	[{"item": 28, "quantity": 36}, {"item": 25, "quantity": 76}]
L4972	[{"item": 8, "quantity": 15}, {"item": 3, "quantity": 25}]
L4977	[{"item": 16, "quantity": 9}]
L4980	[{"item": 20, "quantity": 20}]
L4982	[{"item": 7, "quantity": 19}, {"item": 19, "quantity": 28}]
L4985	[{"item": 22, "quantity": 2}, {"item": 26, "quantity": 35}]
L4987	[{"item": 22, "quantity": 3}, {"item": 16, "quantity": 12}]
L4992	[{"item": 22, "quantity": 4}]
L4993	[{"item": 25, "quantity": 54}, {"item": 19, "quantity": 14}]
L4997	[{"item": 22, "quantity": 2}, {"item": 19, "quantity": 24}]
L4999	[{"item": 1, "quantity": 12}, {"item": 3, "quantity": 12}]
L5000	[{"item": 30, "quantity": 5}, {"item": 25, "quantity": 72}, {"item": 20, "quantity": 50}]
L5002	[{"item": 22, "quantity": 3}, {"item": 26, "quantity": 9}]
L5007	[{"item": 26, "quantity": 30}]
L5012	[{"item": 25, "quantity": 82}]
L5015	[{"item": 22, "quantity": 4}]
L5017	[{"item": 22, "quantity": 2}, {"item": 18, "quantity": 2}]
L5020	[{"item": 25, "quantity": 50}]
L5021	[{"item": 18, "quantity": 8}, {"item": 19, "quantity": 50}, {"item": 20, "quantity": 50}]
L5025	[{"item": 19, "quantity": 50}, {"item": 20, "quantity": 85}]
L5027	[{"item": 25, "quantity": 22}, {"item": 19, "quantity": 22}]
L5030	[{"item": 22, "quantity": 8}]
L5032	[{"item": 3, "quantity": 10}]
L5037	[{"item": 19, "quantity": 30}]
L5039	[{"item": 22, "quantity": 3}, {"item": 25, "quantity": 180}]
L5040	[{"item": 24, "quantity": 5}, {"item": 28, "quantity": 76}]
L5042	[{"item": 8, "quantity": 15}, {"item": 19, "quantity": 45}, {"item": 25, "quantity": 45}]
L5045	[{"item": 22, "quantity": 3}]
L5047	[{"item": 19, "quantity": 32}, {"item": 3, "quantity": 30}]
L5050	[{"item": 22, "quantity": 2}]
L5057	[{"item": 19, "quantity": 25}, {"item": 25, "quantity": 25}, {"item": 28, "quantity": 50}]
L5058	[{"item": 26, "quantity": 32}, {"item": 27, "quantity": 102}]
L5061	[{"item": 18, "quantity": 6}, {"item": 27, "quantity": 57}]
L5064	[{"item": 25, "quantity": 72}]
L5067	[{"item": 25, "quantity": 117}, {"item": 28, "quantity": 52}]
L5069	[{"item": 2, "quantity": 100}, {"item": 6, "quantity": 100}]
L5073	[{"item": 22, "quantity": 4}, {"item": 18, "quantity": 9}]
L5077	[{"item": 18, "quantity": 15}]
L5082	[{"item": 27, "quantity": 54}]
L5085	[{"item": 25, "quantity": 40}, {"item": 28, "quantity": 70}]
L5087	[{"item": 16, "quantity": 15}]
L5090	[{"item": 22, "quantity": 2}]
L5092	[{"item": 1, "quantity": 5}, {"item": 3, "quantity": 4}]
L5093	[{"item": 17, "quantity": 62}, {"item": 25, "quantity": 60}, {"item": 19, "quantity": 7}]
L5094	[{"item": 25, "quantity": 24}, {"item": 28, "quantity": 48}]
L5098	[{"item": 25, "quantity": 55}]
L5101	[{"item": 19, "quantity": 24}]
L5103	[{"item": 22, "quantity": 1}, {"item": 17, "quantity": 74}]
L5107	[{"item": 17, "quantity": 54}, {"item": 18, "quantity": 4}]
L5109	[{"item": 25, "quantity": 36}]
L5113	[{"item": 30, "quantity": 4}]
L5115	[{"item": 3, "quantity": 50}]
L5117	[{"item": 19, "quantity": 10}]
L5120	[{"item": 25, "quantity": 72}, {"item": 17, "quantity": 27}]
L5122	[{"item": 6, "quantity": 250}]
L5124	[{"item": 18, "quantity": 8}]
L5127	[{"item": 6, "quantity": 100}]
L5129	[{"item": 2, "quantity": 220}, {"item": 26, "quantity": 35}]
L5130	[{"item": 25, "quantity": 40}, {"item": 19, "quantity": 20}]
L5132	[{"item": 17, "quantity": 56}, {"item": 25, "quantity": 80}]
L5135	[{"item": 26, "quantity": 66}, {"item": 3, "quantity": 66}]
L5137	[{"item": 20, "quantity": 500}]
L5140	[{"item": 19, "quantity": 55}]
L5144	[{"item": 3, "quantity": 8}, {"item": 1, "quantity": 80}]
L5147	[{"item": 3, "quantity": 10}, {"item": 5, "quantity": 100}]
L5148	[{"item": 28, "quantity": 24}]
L5152	[{"item": 7, "quantity": 12}, {"item": 28, "quantity": 54}, {"item": 26, "quantity": 32}]
L5155	[{"item": 19, "quantity": 40}]
L5157	[{"item": 25, "quantity": 75}, {"item": 2, "quantity": 100}]
L5158	[{"item": 17, "quantity": 53}, {"item": 18, "quantity": 5}]
L5160	[{"item": 28, "quantity": 36}, {"item": 19, "quantity": 27}]
L5162	[{"item": 16, "quantity": 15}]
L5165	[{"item": 25, "quantity": 50}]
L5168	[{"item": 24, "quantity": 4}]
L5170	[{"item": 21, "quantity": 40}]
L5173	[{"item": 25, "quantity": 65}]
L5174	[{"item": 19, "quantity": 45}]
L5177	[{"item": 25, "quantity": 88}, {"item": 27, "quantity": 76}, {"item": 17, "quantity": 43}]
L5181	[{"item": 19, "quantity": 18}, {"item": 17, "quantity": 45}]
L5184	[{"item": 32, "quantity": 149}, {"item": 17, "quantity": 42}]
L5186	[{"item": 16, "quantity": 9}]
L5187	[{"item": 26, "quantity": 51}, {"item": 25, "quantity": 40}, {"item": 17, "quantity": 72}]
L5190	[{"item": 17, "quantity": 50}, {"item": 20, "quantity": 50}]
L5191	[{"item": 20, "quantity": 2}]
L5192	[{"item": 17, "quantity": 85}, {"item": 26, "quantity": 20}]
L5195	[{"item": 26, "quantity": 70}]
L5197	[{"item": 24, "quantity": 1}, {"item": 19, "quantity": 8}]
L5200	[{"item": 25, "quantity": 45}, {"item": 22, "quantity": 4}]
L5201	[{"item": 17, "quantity": 63}]
L5204	[{"item": 20, "quantity": 16}, {"item": 26, "quantity": 58}]
L5205	[{"item": 2, "quantity": 70}, {"item": 17, "quantity": 44}]
L5208	[{"item": 22, "quantity": 6}, {"item": 19, "quantity": 18}]
L5210	[{"item": 17, "quantity": 108}, {"item": 19, "quantity": 38}]
L5213	[{"item": 3, "quantity": 25}]
L5216	[{"item": 19, "quantity": 50}]
L5219	[{"item": 25, "quantity": 33}]
L5222	[{"item": 17, "quantity": 50}, {"item": 28, "quantity": 30}, {"item": 25, "quantity": 15}]
L5225	[{"item": 19, "quantity": 10}, {"item": 17, "quantity": 10}]
L5228	[{"item": 5, "quantity": 155}, {"item": 26, "quantity": 75}]
L5232	[{"item": 16, "quantity": 10}, {"item": 20, "quantity": 40}]
L5235	[{"item": 3, "quantity": 13}, {"item": 19, "quantity": 32}]
L5238	[{"item": 25, "quantity": 40}, {"item": 22, "quantity": 2}]
L5242	[{"item": 19, "quantity": 20}]
L5244	[{"item": 28, "quantity": 123}]
L5247	[{"item": 9, "quantity": 5}, {"item": 19, "quantity": 50}]
L5249	[{"item": 18, "quantity": 4}]
L5250	[{"item": 19, "quantity": 12}]
L5252	[{"item": 17, "quantity": 35}, {"item": 25, "quantity": 40}]
L5255	[{"item": 18, "quantity": 4}]
L5259	[{"item": 17, "quantity": 63}, {"item": 25, "quantity": 18}]
L5261	[{"item": 22, "quantity": 3}]
L5264	[{"item": 21, "quantity": 20}, {"item": 20, "quantity": 20}, {"item": 25, "quantity": 20}]
L5265	[{"item": 8, "quantity": 30}, {"item": 19, "quantity": 10}]
L5268	[{"item": 27, "quantity": 92}]
L5271	[{"item": 6, "quantity": 100}, {"item": 28, "quantity": 97}]
L5273	[{"item": 22, "quantity": 4}]
L5274	[{"item": 22, "quantity": 1}, {"item": 25, "quantity": 1}, {"item": 19, "quantity": 8}]
L5277	[{"item": 25, "quantity": 93}, {"item": 21, "quantity": 13}]
L5280	[{"item": 24, "quantity": 2}]
L5282	[{"item": 25, "quantity": 60}]
L5286	[{"item": 25, "quantity": 65}, {"item": 27, "quantity": 28}]
L5289	[{"item": 5, "quantity": 130}, {"item": 25, "quantity": 50}]
L5292	[{"item": 18, "quantity": 3}, {"item": 17, "quantity": 54}]
L5295	[{"item": 5, "quantity": 200}]
L5298	[{"item": 22, "quantity": 2}, {"item": 19, "quantity": 4}]
L5299	[{"item": 25, "quantity": 87}]
L5302	[{"item": 16, "quantity": 8}, {"item": 19, "quantity": 34}, {"item": 20, "quantity": 30}]
L5305	[{"item": 25, "quantity": 29}, {"item": 27, "quantity": 153}]
L5309	[{"item": 17, "quantity": 40}, {"item": 25, "quantity": 26}]
L5311	[{"item": 24, "quantity": 1}, {"item": 26, "quantity": 10}, {"item": 25, "quantity": 30}]
L5313	[{"item": 26, "quantity": 72}]
L5317	[{"item": 27, "quantity": 120}, {"item": 25, "quantity": 77}]
L5320	[{"item": 25, "quantity": 64}]
L5322	[{"item": 19, "quantity": 30}]
L5323	[{"item": 20, "quantity": 76}]
L5325	[{"item": 19, "quantity": 50}, {"item": 25, "quantity": 75}]
L5327	[{"item": 19, "quantity": 22}, {"item": 17, "quantity": 66}]
L5330	[{"item": 17, "quantity": 45}]
L5331	[{"item": 22, "quantity": 4}, {"item": 2, "quantity": 75}]
L5334	[{"item": 22, "quantity": 4}]
L5336	[{"item": 17, "quantity": 34}, {"item": 19, "quantity": 20}]
L5337	[{"item": 17, "quantity": 86}]
L5341	[{"item": 8, "quantity": 115}]
L5342	[{"item": 16, "quantity": 20}, {"item": 4, "quantity": 150}]
L5346	[{"item": 18, "quantity": 4}, {"item": 17, "quantity": 58}]
L5349	[{"item": 22, "quantity": 1}]
L5350	[{"item": 25, "quantity": 32}, {"item": 17, "quantity": 56}]
L5354	[{"item": 19, "quantity": 20}, {"item": 25, "quantity": 36}]
L5355	[{"item": 19, "quantity": 36}]
L5357	[{"item": 17, "quantity": 20}, {"item": 26, "quantity": 20}]
L5361	[{"item": 32, "quantity": 54}]
L5364	[{"item": 21, "quantity": 30}, {"item": 22, "quantity": 2}]
L5367	[{"item": 19, "quantity": 10}, {"item": 20, "quantity": 10}]
L5370	[{"item": 22, "quantity": 4}]
L5371	[{"item": 17, "quantity": 64}]
L5374	[{"item": 22, "quantity": 2}, {"item": 18, "quantity": 2}]
L5377	[{"item": 3, "quantity": 10}, {"item": 19, "quantity": 30}]
L5380	[{"item": 25, "quantity": 96}, {"item": 21, "quantity": 10}]
L5382	[{"item": 25, "quantity": 65}, {"item": 26, "quantity": 70}]
L5383	[{"item": 22, "quantity": 2}, {"item": 17, "quantity": 55}, {"item": 25, "quantity": 80}]
L5385	[{"item": 25, "quantity": 95}]
L5387	[{"item": 3, "quantity": 10}, {"item": 24, "quantity": 4}]
L5390	[{"item": 3, "quantity": 16}]
L5393	[{"item": 3, "quantity": 1}, {"item": 19, "quantity": 12}]
L5394	[{"item": 25, "quantity": 68}, {"item": 18, "quantity": 8}]
L5398	[{"item": 16, "quantity": 25}, {"item": 25, "quantity": 64}]
L5402	[{"item": 26, "quantity": 62}]
L5403	[{"item": 17, "quantity": 32}]
L5407	[{"item": 18, "quantity": 3}]
L5410	[{"item": 22, "quantity": 2}]
L5414	[{"item": 28, "quantity": 11}]
L5416	[{"item": 25, "quantity": 146}]
L5418	[{"item": 28, "quantity": 9}]
L5420	[{"item": 25, "quantity": 116}, {"item": 19, "quantity": 32}]
L5422	[{"item": 18, "quantity": 4}, {"item": 25, "quantity": 40}]
L5425	[{"item": 28, "quantity": 19}, {"item": 18, "quantity": 3}]
L5427	[{"item": 3, "quantity": 16}, {"item": 19, "quantity": 25}]
L5432	[{"item": 17, "quantity": 135}]
L5435	[{"item": 21, "quantity": 2}, {"item": 26, "quantity": 34}]
L5438	[{"item": 24, "quantity": 4}, {"item": 17, "quantity": 72}]
L5439	[{"item": 25, "quantity": 100}, {"item": 19, "quantity": 8}]
L5440	[{"item": 3, "quantity": 4}]
L5443	[{"item": 1, "quantity": 75}]
L5445	[{"item": 19, "quantity": 35}, {"item": 17, "quantity": 32}]
L5448	[{"item": 25, "quantity": 45}, {"item": 8, "quantity": 10}, {"item": 7, "quantity": 10}]
L5450	[{"item": 16, "quantity": 20}, {"item": 26, "quantity": 40}]
L5453	[{"item": 6, "quantity": 300}]
L5454	[{"item": 18, "quantity": 9}]
L5456	[{"item": 20, "quantity": 100}]
L5459	[{"item": 27, "quantity": 44}]
L5461	[{"item": 24, "quantity": 2}, {"item": 26, "quantity": 33}, {"item": 27, "quantity": 66}]
L5465	[{"item": 25, "quantity": 61}]
L5466	[{"item": 25, "quantity": 36}]
L5469	[{"item": 24, "quantity": 3}, {"item": 27, "quantity": 115}]
L5472	[{"item": 4, "quantity": 150}, {"item": 5, "quantity": 150}]
L5473	[{"item": 25, "quantity": 57}, {"item": 24, "quantity": 3}]
L5475	[{"item": 22, "quantity": 2}]
L5478	[{"item": 24, "quantity": 3}, {"item": 25, "quantity": 20}, {"item": 17, "quantity": 100}]
L5481	[{"item": 25, "quantity": 28}, {"item": 17, "quantity": 90}]
L5485	[{"item": 18, "quantity": 4}, {"item": 24, "quantity": 5}, {"item": 9, "quantity": 6}]
L5488	[{"item": 16, "quantity": 15}, {"item": 8, "quantity": 45}]
L5491	[{"item": 16, "quantity": 40}, {"item": 8, "quantity": 17}]
L5492	[{"item": 9, "quantity": 2}]
L5495	[{"item": 19, "quantity": 38}]
L5496	[{"item": 18, "quantity": 2}, {"item": 26, "quantity": 16}]
L5501	[{"item": 24, "quantity": 3}, {"item": 28, "quantity": 30}]
L5506	[{"item": 4, "quantity": 50}, {"item": 17, "quantity": 27}]
L5507	[{"item": 17, "quantity": 22}, {"item": 19, "quantity": 20}]
L5511	[{"item": 25, "quantity": 26}]
L5512	[{"item": 17, "quantity": 3}, {"item": 28, "quantity": 46}]
L5517	[{"item": 19, "quantity": 24}]
L5521	[{"item": 16, "quantity": 12}, {"item": 25, "quantity": 45}, {"item": 17, "quantity": 36}]
L5522	[{"item": 18, "quantity": 8}]
L5526	[{"item": 1, "quantity": 1}]
L5528	[{"item": 22, "quantity": 4}]
L5530	[{"item": 17, "quantity": 88}, {"item": 27, "quantity": 22}]
L5532	[{"item": 2, "quantity": 99}, {"item": 1, "quantity": 2}, {"item": 3, "quantity": 3}]
L5540	[{"item": 8, "quantity": 24}, {"item": 25, "quantity": 106}]
L5544	[{"item": 18, "quantity": 4}, {"item": 17, "quantity": 87}]
L5546	[{"item": 17, "quantity": 145}, {"item": 25, "quantity": 40}]
L5547	[{"item": 19, "quantity": 9}, {"item": 16, "quantity": 9}, {"item": 25, "quantity": 9}]
L5550	[{"item": 25, "quantity": 101}]
L5551	[{"item": 28, "quantity": 100}]
L5552	[{"item": 25, "quantity": 30}]
L5558	[{"item": 3, "quantity": 10}, {"item": 1, "quantity": 10}]
L5560	[{"item": 28, "quantity": 73}]
L5563	[{"item": 25, "quantity": 25}]
L5565	[{"item": 17, "quantity": 50}]
L5568	[{"item": 22, "quantity": 4}, {"item": 27, "quantity": 117}]
L5570	[{"item": 18, "quantity": 9}, {"item": 26, "quantity": 39}]
L5572	[{"item": 16, "quantity": 150}]
L5575	[{"item": 17, "quantity": 40}, {"item": 25, "quantity": 72}]
L5576	[{"item": 21, "quantity": 40}, {"item": 20, "quantity": 60}]
L5580	[{"item": 20, "quantity": 4}]
L5582	[{"item": 1, "quantity": 45}, {"item": 3, "quantity": 45}]
L5585	[{"item": 21, "quantity": 50}, {"item": 20, "quantity": 25}]
L5586	[{"item": 17, "quantity": 10}, {"item": 27, "quantity": 30}]
L5588	[{"item": 22, "quantity": 1}, {"item": 19, "quantity": 36}]
L5590	[{"item": 25, "quantity": 50}, {"item": 22, "quantity": 1}, {"item": 19, "quantity": 12}]
L5591	[{"item": 1, "quantity": 9}, {"item": 27, "quantity": 135}]
L5596	[{"item": 17, "quantity": 45}, {"item": 28, "quantity": 64}]
L5597	[{"item": 18, "quantity": 8}]
L5600	[{"item": 16, "quantity": 20}]
L5603	[{"item": 22, "quantity": 2}, {"item": 20, "quantity": 4}, {"item": 19, "quantity": 15}]
L5605	[{"item": 6, "quantity": 150}, {"item": 22, "quantity": 2}]
L5608	[{"item": 22, "quantity": 2}]
L5610	[{"item": 25, "quantity": 25}]
L5613	[{"item": 3, "quantity": 8}, {"item": 24, "quantity": 1}]
L5615	[{"item": 21, "quantity": 54}]
L5617	[{"item": 3, "quantity": 6}]
L5620	[{"item": 20, "quantity": 18}]
L5624	[{"item": 20, "quantity": 9}, {"item": 25, "quantity": 31}]
L5627	[{"item": 26, "quantity": 30}]
L5630	[{"item": 26, "quantity": 35}, {"item": 20, "quantity": 25}]
L5632	[{"item": 3, "quantity": 10}]
L5635	[{"item": 25, "quantity": 9}]
L5639	[{"item": 22, "quantity": 2}, {"item": 21, "quantity": 30}]
