L  17	[0,4]
L3937	[0, 4]
L3938	[0, 3]
L3943	[0, 4]
L3946	[0, 1]
L3947	[2, 2]
L3951	[0, 4]
L3952	[0, 4]
L3956	[0, 4]
L3958	[0, 2]
L3964	[0, 3]
L3967	[0, 1]
L3968	[0, 3]
L3971	[0, 3]
L3973	[0, 1]
L3979	[0, 1]
L3981	[0, 1]
L3982	[4, 0]
L3984	[0, 1]
L3986	[0, 2]
L3990	[2, 2]
L3993	[0, 6]
L3997	[0, 1]
L3998	[3, 0]
L4001	[0, 2]
L4005	[0, 2]
L4007	[0, 3]
L4009	[0, 2]
L4011	[0, 2]
L4012	[0, 1]
L4016	[0, 5]
L4017	[3, 0]
L4022	[1, 1]
L4023	[0, 2]
L4027	[0, 3]
L4028	[1, 0]
L4033	[0, 4]
L4035	[1, 1]
L4039	[0, 3]
L4040	[0, 3]
L4043	[0, 2]
L4044	[0, 2]
L4047	[0, 1]
L4049	[0, 1]
L4051	[0, 9]
L4054	[3, 0]
L4057	[0, 3]
L4059	[2, 0]
L4062	[0, 3]
L4065	[0, 2]
L4069	[0, 4]
L4072	[0, 5]
L4075	[0, 4]
L4077	[0, 2]
L4080	[0, 4]
L4082	[0, 2]
L4083	[0, 2]
L4088	[0, 6]
L4089	[1, 1]
L4094	[0, 8]
L4095	[0, 3]
L4099	[0, 3]
L4100	[0, 6]
L4101	[0, 2]
L4102	[0, 3]
L4104	[0, 4]
L4106	[0, 3]
L4108	[0, 6]
L4114	[0, 9]
L4116	[0, 6]
L4118	[0, 5]
L4120	[12, 0]
L4124	[0, 9]
L4126	[0, 3]
L4130	[0, 1]
L4134	[0, 1]
L4141	[2, 2]
L4143	[0, 2]
L4145	[0, 2]
L4147	[2, 2]
L4149	[1, 2]
L4152	[0, 2]
L4155	[1, 1]
L4157	[0, 9]
L4160	[0, 5]
L4161	[1, 2]
L4164	[0, 2]
L4166	[0, 5]
L4168	[1, 0]
L4171	[0, 2]
L4173	[3, 3]
L4177	[0, 3]
L4179	[0, 4]
L4181	[0, 1]
L4185	[1, 1]
L4188	[0, 7]
L4190	[0, 1]
L4193	[0, 2]
L4195	[0, 5]
L4197	[0, 1]
L4201	[0, 6]
L4204	[0, 2]
L4206	[0, 1]
L4209	[0, 4]
L4213	[0, 10]
L4215	[0, 3]
L4218	[0, 1]
L4223	[0, 12]
L4225	[0, 3]
L4228	[0, 1]
L4231	[0, 7]
L4235	[0, 1]
L4236	[0, 3]
L4239	[0, 2]
L4241	[0, 2]
L4243	[0, 6]
L4246	[0, 7]
L4247	[0, 2]
L4248	[0, 3]
L4252	[0, 1]
L4255	[0, 1]
L4258	[0, 1]
L4259	[0, 8]
L4261	[2, 0]
L4262	[0, 4]
L4266	[0, 28]
L4268	[0, 2]
L4272	[0, 6]
L4276	[0, 6]
L4280	[4, 0]
L4282	[0, 5]
L4284	[1, 1]
L4288	[0, 1]
L4290	[0, 3]
L4292	[0, 16]
L4294	[0, 8]
L4297	[2, 3]
L4301	[0, 1]
L4303	[3, 3]
L4305	[0, 3]
L4307	[0, 1]
L4308	[0, 3]
L4311	[0, 4]
L4315	[2, 0]
L4316	[0, 2]
L4320	[0, 1]
L4322	[0, 2]
L4328	[0, 1]
L4329	[0, 5]
L4331	[0, 1]
L4334	[0, 9]
L4339	[0, 1]
L4343	[2, 2]
L4349	[0, 3]
L4351	[5, 4]
L4353	[0, 6]
L4355	[0, 4]
L4357	[0, 2]
L4361	[0, 6]
L4363	[0, 8]
L4365	[0, 3]
L4368	[0, 4]
L4369	[0, 8]
L4372	[0, 2]
L4374	[0, 6]
L4376	[0, 2]
L4379	[0, 5]
L4382	[5, 4]
L4384	[0, 2]
L4388	[0, 6]
L4390	[0, 3]
L4395	[0, 1]
L4398	[0, 1]
L4401	[0, 9]
L4403	[0, 6]
L4406	[0, 2]
L4407	[0, 5]
L4412	[0, 1]
L4413	[0, 2]
L4415	[3, 2]
L4417	[0, 4]
L4421	[0, 3]
L4425	[0, 7]
L4428	[1, 0]
L4430	[0, 7]
L4432	[2, 2]
L4434	[0, 3]
L4435	[0, 1]
L4439	[0, 3]
L4442	[0, 1]
L4444	[0, 3]
L4447	[0, 9]
L4449	[0, 24]
L4451	[3, 0]
L4453	[0, 3]
L4456	[0, 3]
L4457	[0, 2]
L4461	[0, 9]
L4464	[0, 4]
L4467	[0, 4]
L4470	[2, 0]
L4472	[0, 6]
L4473	[0, 6]
L4475	[1, 0]
L4478	[0, 1]
L4480	[0, 1]
L4484	[0, 2]
L4486	[0, 3]
L4488	[0, 27]
L4492	[3, 0]
L4495	[2, 0]
L4497	[2, 0]
L4500	[0, 2]
L4502	[0, 3]
L4504	[1, 1]
L4506	[1, 1]
L4508	[3, 0]
L4510	[2, 2]
L4517	[0, 1]
L4518	[0, 8]
L4522	[0, 5]
L4524	[0, 2]
L4527	[4, 0]
L4531	[3, 0]
L4534	[0, 4]
L4537	[0, 5]
L4539	[2, 2]
L4543	[0, 16]
L4545	[0, 3]
L4547	[0, 2]
L4550	[0, 5]
L4551	[0, 3]
L4555	[0, 7]
L4556	[0, 1]
L4558	[0, 3]
L4560	[0, 6]
L4563	[0, 5]
L4565	[0, 6]
L4569	[2, 2]
L4572	[0, 6]
L4574	[0, 2]
L4575	[0, 1]
L4578	[0, 1]
L4582	[0, 2]
L4584	[0, 1]
L4587	[0, 7]
L4590	[0, 4]
L4593	[5, 0]
L4597	[4, 0]
L4600	[0, 2]
L4602	[2, 2]
L4605	[0, 3]
L4606	[0, 9]
L4609	[0, 1]
L4611	[3, 0]
L4614	[0, 4]
L4617	[1, 3]
L4621	[3, 0]
L4624	[0, 5]
L4627	[0, 3]
L4629	[0, 3]
L4633	[0, 4]
L4635	[0, 4]
L4637	[0, 2]
L4640	[0, 40]
L4641	[0, 2]
L4644	[0, 3]
L4647	[0, 5]
L4652	[0, 6]
L4654	[0, 8]
L4657	[0, 3]
L4659	[4, 4]
L4662	[0, 2]
L4665	[0, 2]
L4667	[0, 2]
L4669	[0, 1]
L4673	[1, 0]
L4676	[0, 3]
L4677	[0, 1]
L4679	[0, 3]
L4681	[0, 4]
L4683	[0, 5]
L4686	[4, 3]
L4691	[0, 4]
L4694	[0, 4]
L4697	[0, 3]
L4700	[0, 9]
L4705	[3, 3]
L4706	[0, 9]
L4710	[0, 3]
L4712	[0, 3]
L4714	[0, 17]
L4717	[2, 2]
L4720	[0, 1]
L4723	[0, 7]
L4725	[1, 1]
L4728	[0, 5]
L4731	[0, 15]
L4733	[0, 1]
L4737	[0, 5]
L4739	[2, 3]
L4743	[3, 3]
L4745	[0, 5]
L4747	[0, 6]
L4749	[1, 1]
L4752	[0, 2]
L4755	[3, 3]
L4759	[0, 2]
L4761	[0, 6]
L4765	[0, 16]
L4769	[0, 2]
L4771	[0, 3]
L4773	[0, 4]
L4777	[0, 3]
L4782	[1, 1]
L4786	[0, 1]
L4788	[0, 5]
L4789	[0, 10]
L4791	[0, 2]
L4794	[0, 3]
L4796	[0, 17]
L4799	[2, 0]
L4801	[0, 14]
L4804	[8, 1]
L4806	[0, 2]
L4809	[0, 2]
L4811	[1, 1]
L4814	[3, 3]
L4816	[0, 2]
L4819	[0, 2]
L4821	[0, 2]
L4824	[3, 0]
L4826	[0, 4]
L4829	[0, 4]
L4831	[0, 3]
L4834	[6, 9]
L4839	[0, 1]
L4841	[0, 4]
L4844	[5, 3]
L4846	[0, 9]
L4849	[0, 2]
L4851	[0, 2]
L4854	[3, 0]
L4857	[0, 1]
L4859	[0, 6]
L4862	[0, 9]
L4865	[0, 10]
L4870	[0, 4]
L4872	[0, 5]
L4875	[0, 4]
L4879	[0, 2]
L4880	[0, 4]
L4884	[0, 6]
L4887	[0, 3]
L4888	[0, 7]
L4889	[0, 4]
L4892	[0, 3]
L4894	[1, 1]
L4896	[0, 2]
L4898	[1, 1]
L4902	[0, 3]
L4907	[0, 2]
L4912	[0, 4]
L4914	[0, 4]
L4920	[0, 4]
L4922	[0, 3]
L4925	[1, 0]
L4926	[0, 3]
L4930	[1, 0]
L4932	[5, 0]
L4937	[0, 8]
L4939	[4, 0]
L4942	[0, 5]
L4945	[0, 3]
L4947	[0, 3]
L4951	[0, 2]
L4953	[0, 4]
L4956	[0, 2]
L4960	[0, 2]
L4963	[0, 4]
L4966	[0, 9]
L4970	[0, 5]
L4973	[0, 12]
L4975	[0, 3]
L4978	[9, 9]
L4981	[0, 5]
L4984	[0, 18]
L4986	[0, 2]
L4989	[0, 3]
L4991	[3, 0]
L4995	[0, 5]
L4998	[0, 3]
L5001	[0, 2]
L5004	[0, 10]
L5006	[0, 4]
L5010	[0, 6]
L5013	[0, 6]
L5016	[0, 6]
L5018	[0, 4]
L5022	[0, 1]
L5024	[0, 6]
L5026	[0, 9]
L5029	[2, 2]
L5033	[0, 9]
L5036	[2, 0]
L5038	[0, 3]
L5041	[1, 1]
L5043	[2, 0]
L5046	[1, 2]
L5049	[4, 4]
L5052	[2, 2]
L5055	[0, 6]
L5059	[0, 5]
L5062	[0, 3]
L5065	[0, 4]
L5070	[4, 0]
L5072	[0, 4]
L5075	[0, 4]
L5078	[0, 3]
L5080	[2, 2]
L5083	[4, 0]
L5086	[0, 11]
L5089	[0, 6]
L5095	[0, 4]
L5097	[0, 1]
L5100	[1, 0]
L5104	[1, 0]
L5105	[0, 2]
L5108	[1, 0]
L5110	[0, 2]
L5112	[0, 5]
L5116	[0, 1]
L5118	[0, 8]
L5123	[0, 2]
L5126	[0, 6]
L5128	[0, 8]
L5131	[0, 9]
L5133	[0, 4]
L5136	[7, 0]
L5139	[3, 3]
L5142	[0, 4]
L5145	[3, 4]
L5149	[3, 4]
L5151	[0, 8]
L5154	[0, 15]
L5156	[0, 2]
L5159	[0, 9]
L5161	[2, 2]
L5164	[0, 1]
L5167	[4, 0]
L5172	[0, 6]
L5176	[4, 0]
L5178	[0, 2]
L5179	[3, 0]
L5182	[0, 3]
L5188	[0, 18]
L5189	[0, 4]
L5194	[0, 3]
L5196	[0, 4]
L5199	[0, 9]
L5203	[0, 4]
L5206	[0, 3]
L5209	[3, 3]
L5211	[0, 2]
L5215	[0, 3]
L5220	[1, 1]
L5223	[0, 9]
L5226	[0, 4]
L5229	[0, 2]
L5233	[0, 1]
L5239	[3, 3]
L5243	[0, 8]
L5246	[0, 3]
L5248	[0, 3]
L5251	[2, 2]
L5253	[0, 2]
L5256	[1, 1]
L5258	[0, 4]
L5262	[0, 3]
L5267	[0, 9]
L5270	[0, 12]
L5276	[0, 24]
L5278	[0, 4]
L5281	[0, 4]
L5284	[0, 4]
L5288	[0, 5]
L5291	[0, 8]
L5294	[3, 0]
L5297	[0, 6]
L5300	[0, 3]
L5301	[0, 2]
L5304	[0, 3]
L5306	[0, 4]
L5307	[1, 2]
L5310	[0, 4]
L5314	[1, 3]
L5316	[2, 4]
L5319	[0, 5]
L5321	[0, 3]
L5324	[0, 3]
L5326	[0, 27]
L5329	[0, 4]
L5332	[0, 10]
L5338	[2, 2]
L5339	[0, 4]
L5344	[0, 4]
L5345	[1, 1]
L5348	[0, 24]
L5351	[1, 1]
L5353	[0, 4]
L5359	[0, 2]
L5362	[0, 28]
L5365	[0, 4]
L5372	[0, 4]
L5376	[0, 5]
L5379	[3, 0]
L5381	[0, 8]
L5384	[2, 2]
L5386	[1, 1]
L5388	[3, 3]
L5392	[2, 2]
L5396	[3, 3]
L5397	[0, 4]
L5399	[6, 3]
L5401	[2, 3]
L5404	[2, 2]
L5406	[0, 4]
L5409	[0, 1]
L5412	[0, 1]
L5415	[0, 18]
L5419	[1, 1]
L5421	[0, 1]
L5424	[1, 1]
L5426	[1, 0]
L5429	[2, 2]
L5431	[0, 10]
L5434	[0, 20]
L5437	[0, 6]
L5442	[0, 7]
L5444	[0, 4]
L5447	[0, 6]
L5449	[0, 4]
L5451	[0, 3]
L5455	[0, 4]
L5458	[0, 3]
L5460	[0, 7]
L5463	[0, 3]
L5468	[0, 4]
L5471	[0, 4]
L5476	[0, 12]
L5480	[0, 14]
L5484	[4, 4]
L5487	[0, 1]
L5490	[2, 2]
L5494	[1, 2]
L5498	[0, 9]
L5499	[1, 1]
L5503	[1, 1]
L5504	[0, 2]
L5508	[3, 2]
L5509	[0, 8]
L5513	[1, 0]
L5518	[0, 5]
L5519	[2, 2]
L5523	[0, 1]
L5524	[2, 2]
L5527	[0, 2]
L5529	[0, 16]
L5533	[0, 6]
L5535	[0, 7]
L5541	[0, 8]
L5542	[0, 6]
L5548	[0, 4]
L5549	[0, 4]
L5554	[0, 5]
L5555	[0, 4]
L5557	[0, 3]
L5562	[0, 5]
L5564	[0, 2]
L5567	[2, 0]
L5569	[0, 2]
L5571	[0, 5]
L5573	[0, 28]
L5577	[10, 0]
L5579	[0, 14]
L5581	[0, 9]
L5584	[0, 3]
L5587	[0, 7]
L5589	[0, 8]
L5592	[3, 3]
L5595	[2, 2]
L5602	[0, 2]
L5607	[2, 2]
L5609	[1, 1]
L5612	[1, 1]
L5614	[0, 14]
L5618	[0, 5]
L5621	[0, 9]
L5623	[0, 9]
L5625	[0, 4]
L5628	[0, 3]
L5633	[0, 8]
L5636	[0, 6]
L5637	[1, 2]
L5641	[2, 1]
L5643	[2, 2]
L5647	[2, 3]
L5651	[1, 3]
L5654	[0, 4]
L5656	[2, 1]
L5658	[1, 1]
L5660	[0, 14]
L5663	[0, 2]
L5665	[4, 4]
L5670	[24, 0]
L5674	[0, 9]
L5676	[0, 1]
L5678	[0, 3]
L5683	[4, 6]
L5686	[5, 5]
L5688	[6, 1]
L5691	[17, 0]
L5694	[2, 0]
L5698	[0, 3]
L5701	[2, 2]
L5705	[2, 2]
L5708	[0, 5]
L5711	[0, 4]
L5714	[0, 3]
L5716	[0, 3]
L5718	[2, 0]
L5722	[0, 9]
L5724	[0, 3]
L5727	[2, 2]
L5728	[0, 2]
L5732	[0, 2]
L5735	[0, 8]
L5736	[0, 6]
L5738	[2, 0]
L5742	[15, 4]
L5744	[10, 0]
L5746	[0, 18]
L5749	[5, 5]
L5753	[0, 4]
L5755	[1, 2]
L5757	[0, 3]
L5760	[0, 5]
L5764	[0, 3]
L5766	[2, 2]
L5768	[3, 0]
L5771	[0, 2]
L5776	[5, 5]
L5778	[1, 1]
L5782	[0, 12]
L5785	[3, 3]
L5787	[4, 5]
L5790	[0, 5]
L5792	[6, 1]
L5796	[6, 0]
L5799	[6, 0]
L5803	[0, 4]
L5806	[0, 6]
L5807	[4, 0]
L5811	[0, 4]
L5812	[0, 2]
L5814	[2, 2]
L5817	[3, 0]
L5820	[0, 5]
L5825	[0, 5]
L5827	[0, 6]
L5831	[0, 2]
L5834	[0, 2]
L5836	[2, 1]
L5838	[0, 3]
L5840	[0, 2]
L5843	[2, 3]
L5846	[0, 3]
L5848	[0, 3]
L5850	[0, 4]
L5853	[0, 3]
L5859	[0, 3]
L5864	[6, 0]
L5866	[3, 0]
L5869	[0, 12]
L5871	[0, 3]
L5873	[0, 3]
L5876	[0, 6]
L5877	[0, 5]
L5880	[0, 3]
L5883	[0, 5]
L5885	[0, 26]
L5887	[0, 6]
L5891	[2, 2]
L5892	[3, 3]
L5893	[0, 4]
L5898	[0, 2]
L5899	[0, 5]
L5900	[0, 7]
L5904	[0, 3]
L5905	[2, 2]
L5906	[0, 4]
L5911	[2, 1]
L5912	[0, 4]
L5913	[0, 5]
L5914	[0, 2]
L5916	[0, 3]
L5919	[0, 4]
L5920	[0, 1]
L5921	[0, 4]
L5926	[1, 0]
L5927	[3, 3]
L5928	[0, 24]
L5929	[2, 2]
L5931	[0, 3]
L5934	[0, 4]
L5935	[2, 2]
L5936	[0, 3]
L5937	[0, 1]
L5942	[2, 1]
L5943	[0, 2]
L5951	[0, 2]
L5952	[0, 4]
L5953	[0, 4]
L5955	[4, 6]
L5958	[0, 3]
L5959	[2, 4]
L5960	[0, 8]
L5962	[0, 4]
L5964	[1, 1]
L5965	[2, 2]
L5972	[0, 8]
L5973	[0, 4]
L5974	[1, 2]
L5977	[7, 0]
L5981	[0, 3]
L5984	[0, 3]
L5986	[0, 28]
L5987	[0, 2]
L5990	[3, 1]
L5993	[3, 0]
L5996	[0, 1]
L5998	[18, 0]
L6001	[0, 1]
L6002	[3, 3]
L6005	[0, 7]
L6009	[0, 3]
L6010	[5, 0]
L6011	[0, 6]
L6016	[0, 3]
L6017	[2, 2]
L6018	[0, 3]
L6019	[0, 3]
L6021	[0, 4]
L6024	[2, 2]
L6025	[3, 3]
L6026	[0, 3]
L6027	[0, 3]
L6032	[4, 6]
L6033	[0, 5]
L6039	[0, 6]
L6040	[2, 2]
L6041	[0, 3]
L6046	[0, 5]
L6047	[3, 3]
L6048	[0, 4]
L6049	[0, 4]
L6051	[0, 4]
L6054	[0, 4]
L6055	[3, 0]
L6056	[0, 6]
L6057	[3, 0]
L6062	[0, 2]
L6063	[0, 5]
L6066	[0, 4]
L6069	[3, 0]
L6071	[0, 1]
L6072	[0, 6]
L6074	[3, 0]
L6076	[0, 5]
L6077	[0, 2]
L6080	[4, 0]
L6083	[0, 2]
L6086	[0, 5]
L6088	[1, 0]
L6091	[0, 4]
L6092	[0, 2]
L6095	[0, 2]
L6098	[3, 0]
L6101	[3, 0]
L6105	[0, 1]
L6108	[2, 2]
L6111	[0, 2]
L6113	[0, 3]
L6116	[0, 1]
L6118	[1, 2]
L6121	[0, 3]
L6122	[3, 0]
L6125	[0, 6]
L6126	[0, 2]
L6129	[0, 7]
L6131	[0, 2]
L6134	[14, 2]
L6136	[1, 1]
L6139	[0, 4]
L6144	[3, 0]
L6145	[3, 3]
L6146	[0, 3]
L6151	[0, 3]
L6152	[3, 0]
L6153	[0, 2]
L6154	[0, 3]
L6158	[2, 0]
L6161	[2, 0]
L6165	[3, 0]
L6168	[0, 2]
L6171	[0, 6]
L6173	[0, 5]
L6176	[0, 2]
L6178	[0, 2]
L6184	[0, 10]
L6186	[2, 1]
L6189	[0, 2]
L6191	[2, 2]
L6194	[2, 3]
L6196	[0, 3]
L6199	[3, 6]
L6205	[0, 16]
L6206	[0, 4]
L6209	[0, 4]
L6211	[1, 0]
L6213	[1, 1]
L6218	[8, 0]
L6221	[0, 3]
L6225	[0, 6]
L6228	[16, 0]
L6232	[0, 5]
L6235	[0, 5]
L6236	[0, 10]
L6237	[0, 9]
L6242	[0, 3]
L6243	[1, 1]
L6246	[8, 0]
L6249	[1, 1]
L6251	[1, 11]
L6254	[2, 2]
L6255	[2, 4]
L6256	[4, 2]
L6259	[1, 2]
L6260	[0, 18]
L6262	[0, 8]
L6267	[0, 3]
L6270	[0, 4]
L6273	[2, 2]
L6274	[0, 2]
L6277	[0, 2]
L6279	[1, 1]
L6281	[4, 3]
L6283	[0, 4]
L6285	[0, 4]
L6288	[0, 5]
L6290	[1, 1]
L6293	[3, 7]
L6296	[0, 15]
L6298	[3, 6]
L6301	[0, 4]
L6304	[0, 5]
L6305	[0, 3]
L6307	[0, 1]
L6311	[0, 8]
L6312	[2, 0]
L6314	[3, 0]
L6316	[0, 1]
L6319	[0, 12]
L6323	[1, 4]
L6326	[0, 4]
L6328	[0, 2]
L6329	[0, 5]
L6332	[0, 3]
L6335	[0, 2]
L6337	[0, 18]
L6338	[0, 32]
L6339	[4, 0]
L6341	[2, 2]
L6343	[2, 0]
L6345	[0, 1]
L6348	[0, 9]
L6350	[0, 2]
L6353	[0, 2]
L6356	[5, 0]
L6358	[4, 4]
L6359	[0, 4]
L6361	[2, 2]
L6362	[0, 10]
L6365	[0, 2]
L6366	[0, 3]
L6369	[0, 4]
L6371	[0, 3]
L6373	[0, 4]
L6374	[0, 2]
L6376	[0, 2]
L6379	[3, 3]
L6383	[0, 18]
L6384	[0, 21]
L6387	[3, 0]
L6390	[0, 4]
L6394	[0, 3]
L6397	[0, 4]
L6398	[4, 3]
L6399	[2, 2]
L6401	[2, 2]
L6403	[0, 2]
L6405	[0, 5]
L6408	[0, 1]
L6410	[0, 2]
L6412	[0, 3]
L6416	[0, 8]
L6418	[0, 3]
L6420	[1, 0]
L6422	[0, 2]
L6424	[0, 5]
L6427	[1, 1]
L6429	[0, 3]
L6432	[1, 0]
L6433	[0, 8]
L6437	[3, 0]
L6439	[3, 0]
L6444	[0, 2]
L6446	[1, 0]
L6449	[0, 2]
L6451	[0, 1]
L6452	[0, 3]
L6456	[0, 5]
L6457	[0, 3]
L6460	[2, 0]
L6461	[0, 3]
L6462	[0, 3]
L6465	[0, 6]
L6467	[0, 2]
L6468	[0, 5]
L6472	[0, 6]
L6476	[1, 0]
L6477	[0, 25]
L6478	[4, 0]
L6484	[0, 3]
L6485	[0, 16]
L6488	[0, 4]
L6490	[0, 6]
L6491	[0, 9]
L6493	[2, 2]
L6494	[0, 4]
L6498	[0, 11]
L6499	[0, 1]
L6501	[0, 2]
L6502	[0, 4]
L6507	[0, 1]
L6509	[0, 5]
L6511	[0, 7]
L6513	[1, 1]
L6516	[0, 2]
L6519	[0, 3]
L6521	[0, 4]
L6523	[0, 3]
L6524	[4, 4]
L6526	[0, 2]
L6527	[0, 4]
L6534	[2, 2]
L6536	[0, 3]
L6540	[0, 4]
L6542	[0, 5]
L6544	[0, 4]
L6547	[8, 0]
L6548	[2, 0]
L6551	[0, 2]
L6552	[1, 1]
L6553	[4, 0]
L6554	[0, 4]
L6556	[0, 4]
L6557	[1, 1]
L6562	[0, 4]
L6567	[0, 4]
L6569	[12, 2]
L6571	[0, 4]
L6573	[4, 0]
L6576	[0, 5]
L6579	[0, 2]
L6580	[3, 3]
L6583	[0, 3]
L6585	[0, 7]
L6586	[0, 2]
L6589	[2, 2]
L6591	[0, 10]
L6595	[2, 0]
L6597	[4, 0]
L6598	[0, 4]
L6601	[9, 0]
L6603	[0, 1]
L6607	[0, 3]
L6608	[8, 0]
L6610	[2, 2]
L6614	[3, 0]
L6617	[0, 1]
L6619	[1, 0]
L6620	[0, 4]
L6622	[1, 1]
L6623	[0, 3]
L6627	[0, 27]
L6629	[0, 5]
L6634	[0, 1]
L6635	[1, 1]
L6638	[0, 4]
L6639	[0, 1]
L6641	[0, 9]
L6646	[2, 2]
L6648	[0, 4]
L6650	[0, 4]
L6652	[0, 3]
L6653	[0, 3]
L6656	[0, 1]
L6659	[0, 6]
L6664	[0, 4]
L6665	[4, 4]
L6669	[0, 2]
L6670	[0, 3]
L6672	[5, 5]
L6673	[0, 4]
L6676	[0, 6]
L6679	[0, 11]
L6683	[2, 1]
L6685	[0, 2]
L6689	[1, 0]
L6691	[1, 1]
L6692	[1, 0]
L6695	[0, 5]
L6696	[3, 4]
L6698	[0, 2]
L6700	[9, 0]
L6702	[0, 3]
L6706	[2, 0]
L6708	[0, 2]
L6712	[0, 3]
L6713	[3, 0]
L6715	[5, 5]
L6719	[2, 2]
L6722	[0, 4]
L6724	[2, 0]
L6725	[0, 4]
L6727	[0, 5]
L6728	[0, 2]
L6729	[0, 4]
L6730	[0, 5]
L6734	[2, 0]
L6735	[0, 4]
L6737	[3, 0]
L6739	[0, 4]
L6742	[0, 2]
L6743	[3, 3]
L6746	[1, 0]
L6747	[0, 9]
L6749	[3, 0]
L6750	[0, 4]
L6752	[0, 1]
L6755	[0, 2]
L6756	[1, 1]
L6758	[2, 2]
L6760	[2, 4]
L6762	[0, 1]
L6764	[2, 4]
L6766	[0, 6]
L6768	[4, 4]
L6770	[0, 2]
L6771	[2, 2]
L6774	[2, 0]
L6779	[0, 13]
L6780	[3, 4]
L6783	[0, 3]
L6785	[2, 0]
L6788	[2, 2]
L6791	[0, 3]
L6794	[0, 6]
L6796	[2, 2]
L6797	[3, 3]
L6799	[0, 8]
L6801	[3, 0]
L6803	[0, 2]
L6806	[0, 2]
L6808	[1, 1]
L6812	[1, 1]
L6815	[0, 2]
L6817	[3, 0]
L6819	[3, 0]
L6821	[0, 17]
L6824	[4, 0]
L6826	[0, 1]
L6827	[0, 14]
L6832	[0, 6]
L6833	[0, 3]
L6835	[0, 1]
L6839	[0, 4]
L6840	[0, 6]
L6844	[0, 4]
L6845	[0, 4]
L6846	[0, 4]
L6848	[0, 3]
L6850	[0, 9]
L6852	[0, 1]
L6856	[0, 2]
L6858	[0, 1]
L6860	[0, 3]
L6863	[0, 3]
L6865	[0, 2]
L6867	[0, 4]
L6870	[3, 3]
L6874	[0, 1]
L6875	[0, 4]
L6877	[1, 0]
L6878	[0, 8]
L6882	[4, 4]
L6883	[0, 4]
L6884	[0, 2]
L6889	[0, 4]
L6890	[0, 4]
L6892	[0, 1]
L6893	[4, 0]
L6899	[1, 2]
L6900	[0, 1]
L6902	[0, 7]
L6904	[0, 3]
L6905	[0, 3]
L6907	[0, 2]
L6908	[0, 3]
L6912	[0, 1]
L6913	[0, 8]
L6914	[4, 0]
L6916	[0, 2]
L6919	[0, 18]
L6920	[0, 3]
L6923	[6, 6]
L6924	[0, 3]
L6925	[0, 3]
L6928	[0, 4]
L6930	[0, 8]
L6932	[0, 5]
L6936	[0, 6]
L6938	[0, 3]
L6941	[0, 8]
L6944	[4, 4]
L6947	[0, 1]
L6950	[0, 4]
L6953	[3, 3]
L6955	[0, 8]
L6956	[0, 2]
L6958	[0, 2]
L6959	[2, 2]
L6961	[0, 6]
L6963	[0, 6]
L6965	[0, 2]
L6968	[0, 8]
L6970	[0, 4]
L6972	[0, 24]
L6974	[0, 3]
L6977	[0, 8]
L6980	[0, 4]
L6982	[4, 0]
L6983	[0, 2]
L6987	[0, 25]
L6988	[0, 10]
L6989	[0, 2]
L6994	[0, 2]
L6995	[0, 6]
L6997	[0, 6]
L6998	[0, 2]
L7000	[0, 4]
L7001	[0, 2]
L7004	[0, 4]
L7006	[0, 5]
L7007	[0, 18]
L7010	[0, 7]
L7012	[0, 3]
L7013	[0, 3]
L7015	[3, 3]
L7019	[2, 0]
L7022	[0, 1]
L7024	[0, 3]
L7025	[0, 2]
L7028	[3, 0]
L7031	[0, 3]
L7037	[0, 3]
L7038	[0, 5]
L7040	[0, 9]
L7043	[0, 14]
L7045	[0, 28]
L7049	[0, 3]
L7052	[0, 6]
L7054	[0, 1]
L7055	[0, 5]
L7056	[0, 9]
L7058	[0, 12]
L7059	[0, 5]
L7062	[0, 8]
L7064	[0, 2]
L7067	[0, 3]
L7070	[0, 2]
L7073	[0, 2]
L7075	[0, 13]
L7078	[0, 1]
L7079	[0, 10]
L7082	[4, 4]
L7084	[0, 6]
L7085	[0, 1]
L7089	[0, 2]
L7090	[0, 2]
L7092	[0, 8]
L7095	[0, 1]
L7097	[0, 8]
L7100	[0, 4]
L7103	[0, 2]
L7105	[0, 6]
L7107	[0, 3]
L7109	[0, 3]
L7112	[0, 6]
L7114	[0, 8]
L7115	[0, 7]
L7121	[0, 5]
L7125	[0, 4]
L7126	[0, 17]
L7131	[0, 5]
L7134	[0, 9]
L7137	[0, 4]
L7141	[0, 10]
L7144	[0, 6]
L7148	[0, 3]
L7152	[0, 2]
L7154	[0, 1]
L7155	[2, 2]
L7161	[0, 4]
L7162	[0, 1]
L7167	[1, 0]
L7168	[0, 2]
L7174	[0, 3]
L7178	[0, 12]
L7182	[0, 5]
L7184	[0, 3]
L7185	[0, 4]
L7193	[0, 8]
L7196	[0, 12]
L7198	[0, 3]
L7200	[4, 0]
L7204	[0, 10]
L7207	[0, 1]
L7212	[0, 3]
L7217	[2, 0]
L7218	[25, 0]
L7224	[3, 3]
L7227	[0, 2]
L7234	[0, 2]
L7239	[0, 4]
L7242	[0, 2]
L7243	[0, 1]
L7245	[0, 7]
L7250	[0, 4]
L7253	[0, 3]
L7256	[0, 3]
L7258	[0, 4]
L7260	[0, 2]
L7264	[0, 7]
L7267	[0, 2]
L7273	[0, 3]
L7276	[0, 9]
L7279	[0, 6]
L7284	[0, 1]
L7286	[0, 1]
L7288	[0, 3]
